Rule: http://www.wikidata.org/prop/direct/P69(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P119(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P161(v0,subject) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P31(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P737(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P509(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P1412(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P1303(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P31(object,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P27(http://www.wikidata.org/entity/Q60486,http://www.wikidata.org/entity/Q188) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P26(v0,subject) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P3373(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P264(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P101(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P135(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P3373(v0,subject) | Score: 0.0
Rule: Empty Rule | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P551(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P737(v0,subject) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P26(subject,v0) | Score: 0.0
Rule: Empty Rule | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P108(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P136(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P20(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P451(v0,subject) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P106(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P40(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P40(v0,subject) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P1050(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P19(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P102(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P172(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P140(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P641(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P27(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P463(subject,v0) | Score: 0.0
Rule: http://www.wikidata.org/prop/direct/P451(subject,v0) | Score: 0.0
